conectado|voltagem|temperatura|ruido|ativacao
1000|33000|124000|-97000|1
1000|41000|177000|5000|1
1000|34000|418000|11000|1
1000|33000|577000|25000|0
1000|27000|272000|10000|1
1000|37000|294000|-90000|1
0|41000|505000|57000|0
1000|28000|518000|80000|0
0|35000|567000|6000|0
1000|45000|252000|94000|0
1000|36000|131000|55000|1
1000|38000|-88000|-77000|0
1000|37000|532000|28000|0
1000|40000|-78000|-13000|0
1000|37000|576000|-30000|0
0|42000|377000|13000|0
0|32000|476000|-89000|0
0|43000|250000|52000|0
1000|39000|70000|-22000|1
0|45000|-68000|45000|0
1000|40000|449000|-62000|1
0|34000|73000|92000|0
1000|31000|73000|97000|1
1000|45000|115000|-57000|0
0|33000|-16000|92000|0
1000|30000|74000|91000|1
1000|40000|456000|30000|0
1000|36000|185000|65000|1
0|42000|-53000|35000|0
0|27000|22000|72000|0
0|35000|308000|28000|0
0|33000|444000|84000|0
0|28000|184000|78000|0
1000|27000|-23000|94000|0
1000|30000|364000|-27000|1
0|27000|-84000|67000|0
1000|34000|351000|-52000|1
1000|30000|61000|-92000|1
0|27000|303000|32000|0
0|32000|146000|78000|0
0|42000|505000|6000|0
0|39000|74000|-86000|0
0|28000|373000|-8000|0
0|37000|-42000|40000|0
0|35000|125000|-91000|0
0|45000|160000|36000|0
1000|32000|204000|-33000|1
1000|33000|382000|5000|1
0|28000|533000|31000|0
0|31000|278000|82000|0
0|45000|48000|99000|0
0|33000|302000|45000|0
0|33000|330000|91000|0
0|33000|497000|-51000|0
0|33000|600000|32000|0
0|32000|216000|-71000|0
1000|35000|356000|96000|1
1000|41000|56000|-58000|1
1000|40000|443000|25000|1
1000|26000|592000|66000|0
1000|36000|-42000|-34000|0
0|39000|88000|-68000|0
0|44000|406000|30000|0
1000|30000|112000|-34000|1
0|30000|4000|-42000|0
0|38000|468000|-71000|0
1000|29000|489000|7000|0
1000|36000|-62000|-4000|0
1000|28000|63000|-98000|1
0|37000|-22000|80000|0
1000|33000|568000|34000|0
1000|41000|-4000|-10000|0
0|33000|30000|-28000|0
1000|37000|397000|47000|1
1000|26000|324000|52000|1
1000|44000|370000|-82000|0
0|37000|5000|-11000|0
1000|28000|-43000|-60000|0
1000|40000|172000|-40000|1
1000|26000|420000|-5000|1
0|31000|198000|-72000|0
0|36000|478000|-1000|0
0|30000|-75000|21000|0
1000|33000|192000|39000|1
0|40000|157000|-90000|0
0|44000|269000|-12000|0
0|28000|46000|35000|0
1000|45000|528000|-95000|0
0|25000|120000|-1000|0
0|38000|-30000|0|0
0|30000|393000|-70000|0
0|28000|-24000|-68000|0
0|43000|511000|-100000|0
1000|34000|167000|-32000|1
0|26000|-22000|78000|0
0|32000|-36000|-51000|0
1000|29000|357000|-34000|1
1000|30000|141000|-80000|1
1000|28000|73000|25000|1
1000|29000|284000|-85000|1
0|27000|265000|-58000|0
1000|31000|192000|-95000|1
0|30000|68000|-95000|0
0|37000|71000|11000|0
0|41000|385000|-78000|0
0|34000|517000|-58000|0
0|36000|562000|12000|0
1000|28000|8000|70000|1
1000|39000|348000|22000|1
0|41000|501000|-17000|0
1000|42000|143000|91000|1
1000|36000|-71000|-96000|0
0|26000|-39000|-45000|0
1000|30000|329000|-9000|1
0|29000|228000|-66000|0
1000|40000|321000|99000|1
1000|32000|71000|26000|1
0|36000|-63000|-12000|0
1000|25000|403000|77000|1
1000|37000|542000|78000|0
0|36000|111000|-1000|0
1000|26000|400000|-63000|1
0|31000|565000|87000|0
1000|27000|88000|35000|1
0|35000|406000|-12000|0
0|34000|-31000|-53000|0
1000|44000|597000|41000|0
1000|28000|82000|28000|1
1000|32000|197000|-56000|1
0|29000|582000|-65000|0
1000|32000|320000|-75000|1
0|30000|443000|8000|0
1000|40000|167000|55000|1
1000|45000|107000|-94000|0
1000|35000|402000|92000|1
1000|30000|-32000|-62000|0
0|40000|417000|64000|0
0|35000|377000|-29000|0
0|40000|423000|-38000|0
1000|26000|249000|81000|1
1000|32000|190000|49000|1
0|44000|599000|66000|0
1000|25000|-33000|80000|0
0|28000|-71000|16000|0
1000|43000|302000|-17000|0
1000|35000|187000|9000|1
1000|39000|160000|3000|1
0|41000|-17000|-69000|0
1000|32000|-5000|-70000|0
1000|40000|428000|-31000|1
1000|25000|551000|29000|0
1000|29000|482000|50000|0
1000|30000|69000|-22000|1
1000|31000|14000|35000|1
0|40000|170000|91000|0
0|37000|426000|15000|0
0|45000|255000|27000|0
1000|26000|393000|-98000|1
0|37000|382000|89000|0
0|29000|192000|48000|0
1000|33000|-98000|-13000|0
0|41000|367000|89000|0
0|40000|63000|-81000|0
0|36000|411000|95000|0
0|40000|391000|-95000|0
1000|41000|407000|-14000|1
0|36000|210000|12000|0
0|32000|598000|-88000|0
0|41000|520000|-41000|0
0|29000|30000|56000|0
1000|41000|94000|-36000|1
0|42000|-41000|95000|0
1000|30000|92000|-32000|1
1000|41000|254000|-28000|1
1000|29000|81000|-47000|1
0|27000|30000|1000|0
1000|44000|310000|87000|0
0|29000|336000|40000|0
1000|39000|156000|33000|1
0|45000|-34000|50000|0
0|39000|-36000|59000|0
1000|42000|464000|83000|0
0|39000|532000|40000|0
1000|32000|355000|-79000|1
1000|41000|148000|-89000|1
0|35000|444000|-87000|0
1000|30000|186000|-38000|1
0|33000|78000|87000|0
1000|33000|438000|-44000|1
1000|43000|241000|-17000|0
0|44000|-26000|-67000|0
1000|36000|402000|43000|1
1000|42000|305000|-82000|1
0|36000|-47000|3000|0
0|41000|130000|-54000|0
0|38000|0|-72000|0
0|26000|-63000|-20000|0
1000|40000|20000|86000|1
0|28000|117000|-45000|0
1000|27000|313000|1000|1
0|28000|205000|-77000|0
0|39000|485000|25000|0
1000|27000|49000|-59000|1
1000|33000|248000|-6000|1
0|34000|400000|-44000|0
1000|31000|349000|-77000|1
0|43000|435000|85000|0
1000|37000|7000|97000|1
1000|32000|67000|93000|1
0|33000|448000|-43000|0
1000|44000|288000|31000|0
0|43000|386000|-98000|0
0|26000|440000|40000|0
1000|29000|555000|-70000|0
1000|29000|183000|34000|1
0|42000|164000|48000|0
0|45000|102000|10000|0
1000|43000|194000|-43000|0
1000|35000|298000|32000|1
0|38000|354000|-73000|0
1000|33000|489000|-3000|0
0|42000|562000|-64000|0
1000|42000|584000|-31000|0
1000|25000|-96000|64000|0
1000|26000|74000|-91000|1
1000|29000|189000|-97000|1
1000|31000|102000|86000|1
0|42000|518000|-32000|0
0|43000|510000|63000|0
1000|25000|382000|-13000|1
0|43000|447000|-29000|0
0|40000|530000|-100000|0
0|42000|102000|-16000|0
1000|35000|244000|65000|1
0|34000|187000|-38000|0
0|30000|84000|46000|0
0|45000|151000|91000|0
0|31000|-68000|16000|0
0|37000|-6000|28000|0
1000|36000|130000|-98000|1
1000|34000|484000|-42000|0
0|26000|547000|12000|0
1000|44000|263000|10000|0
1000|41000|84000|63000|1
1000|42000|537000|-81000|0
0|40000|455000|-44000|0
1000|33000|41000|-77000|1
1000|42000|141000|-74000|1
0|43000|314000|-17000|0
1000|26000|485000|-33000|0
0|26000|226000|-46000|0
0|35000|501000|64000|0
0|27000|441000|47000|0
1000|25000|498000|-75000|0
0|43000|568000|85000|0
0|30000|507000|65000|0
0|31000|557000|51000|0
0|28000|459000|0|0
0|40000|263000|-44000|0
0|34000|155000|43000|0
0|36000|495000|-16000|0
0|41000|331000|-61000|0
1000|40000|406000|-37000|1
0|27000|-25000|94000|0
1000|44000|18000|30000|0
1000|44000|237000|-8000|0
1000|35000|157000|-82000|1
1000|38000|128000|-100000|1
1000|25000|29000|-79000|1
0|42000|318000|-43000|0
1000|43000|38000|-66000|0
0|25000|283000|-18000|0
0|25000|86000|-69000|0
0|28000|-66000|33000|0
1000|29000|121000|-100000|1
0|37000|571000|96000|0
0|32000|537000|-42000|0
0|43000|-99000|48000|0
0|45000|-27000|-57000|0
0|30000|296000|-62000|0
0|45000|-85000|-96000|0
1000|43000|170000|27000|0
0|41000|513000|-65000|0
0|42000|363000|-86000|0
1000|25000|-21000|92000|0
1000|26000|261000|-31000|1
1000|28000|184000|-1000|1
0|31000|299000|-16000|0
1000|30000|161000|44000|1
0|35000|21000|-77000|0
0|39000|305000|-7000|0
0|34000|269000|-84000|0
1000|43000|-26000|18000|0
1000|25000|158000|63000|1
1000|43000|392000|-28000|0
0|30000|-100000|-30000|0
0|41000|468000|88000|0
1000|44000|142000|63000|0
0|36000|-9000|-48000|0
0|45000|410000|49000|0
0|44000|195000|71000|0
1000|29000|243000|29000|1
1000|32000|80000|-94000|1
0|39000|236000|94000|0
1000|25000|370000|-77000|1
1000|38000|364000|43000|1
1000|26000|407000|13000|1
1000|36000|347000|-72000|1
1000|36000|523000|88000|0
1000|34000|121000|-28000|1
0|45000|122000|49000|0
0|31000|198000|-45000|0
0|44000|96000|-64000|0
0|38000|-20000|-91000|0
1000|38000|129000|52000|1
1000|41000|558000|-8000|0
1000|36000|584000|-46000|0
0|32000|-26000|-80000|0
0|25000|203000|-87000|0
1000|45000|120000|-37000|0
0|33000|379000|-44000|0
1000|44000|515000|-96000|0
0|29000|121000|40000|0
0|35000|543000|44000|0
1000|38000|328000|-60000|1
0|35000|151000|43000|0
0|27000|592000|-80000|0
1000|34000|-81000|44000|0
0|32000|579000|81000|0
0|38000|442000|93000|0
1000|37000|-27000|-5000|0
0|29000|64000|-80000|0
0|37000|3000|61000|0
1000|34000|-50000|93000|0
0|28000|-5000|22000|0
0|43000|185000|19000|0
0|34000|226000|11000|0
0|31000|297000|-20000|0
1000|37000|239000|-5000|1
0|25000|-31000|-73000|0
1000|29000|-89000|-77000|0
1000|25000|185000|9000|1
0|38000|418000|67000|0
1000|42000|390000|69000|1
0|26000|406000|64000|0
0|45000|-83000|-51000|0
0|27000|253000|17000|0
0|28000|551000|-17000|0
0|27000|-64000|-54000|0
0|25000|415000|-31000|0
1000|25000|452000|-73000|0
1000|38000|511000|-46000|0
0|45000|522000|-18000|0
1000|26000|528000|-44000|0
1000|41000|100000|-69000|1
1000|31000|189000|-37000|1
0|27000|341000|-23000|0
0|32000|317000|61000|0
1000|32000|523000|65000|0
1000|29000|386000|51000|1
1000|41000|445000|95000|1
1000|40000|528000|-96000|0
1000|41000|89000|-40000|1
0|39000|551000|75000|0
1000|34000|-16000|-13000|0
1000|29000|441000|-62000|1
0|27000|27000|-2000|0
0|33000|270000|46000|0
1000|43000|594000|26000|0
1000|43000|555000|23000|0
0|37000|142000|-7000|0
1000|34000|198000|2000|1
1000|30000|68000|-41000|1
0|35000|-47000|-53000|0
1000|34000|90000|45000|1
0|38000|-60000|-20000|0
1000|43000|15000|-87000|0
0|27000|158000|-80000|0
0|25000|-35000|-70000|0
1000|45000|499000|9000|0
0|43000|-12000|-78000|0
0|44000|111000|24000|0
0|26000|437000|-27000|0
0|26000|-40000|70000|0
1000|37000|-81000|68000|0
1000|38000|375000|-54000|1
1000|29000|21000|70000|1
0|25000|225000|3000|0
1000|31000|-84000|-61000|0
0|30000|9000|44000|0
0|28000|-38000|38000|0
0|44000|87000|-100000|0
0|36000|308000|99000|0
0|38000|157000|-50000|0
1000|33000|245000|6000|1
0|37000|543000|9000|0
0|34000|183000|-23000|0
0|39000|189000|-86000|0
0|25000|276000|-12000|0
0|45000|259000|50000|0
0|27000|449000|97000|0
1000|28000|139000|7000|1
1000|43000|209000|-6000|0
0|40000|489000|-83000|0
0|40000|407000|37000|0
1000|45000|210000|-75000|0
1000|37000|285000|98000|1
0|45000|-64000|-58000|0
0|31000|556000|-93000|0
0|33000|-52000|-59000|0
0|27000|202000|73000|0
0|45000|388000|4000|0
1000|28000|280000|-25000|1
1000|41000|309000|-16000|1
1000|43000|510000|-1000|0
0|29000|195000|-54000|0
1000|31000|520000|-26000|0
1000|35000|-19000|93000|0
1000|25000|240000|-82000|1
0|39000|101000|32000|0
0|36000|245000|-10000|0
0|35000|-55000|20000|0
1000|42000|183000|-31000|1
0|28000|329000|43000|0
1000|25000|595000|7000|0
1000|41000|317000|26000|1
1000|41000|256000|37000|1
1000|35000|563000|-57000|0
1000|41000|385000|34000|1
0|43000|271000|-87000|0
0|31000|588000|-33000|0
0|37000|135000|-83000|0
0|34000|545000|67000|0
0|38000|-100000|-55000|0
0|33000|-10000|69000|0
0|30000|149000|-77000|0
0|29000|484000|-40000|0
1000|43000|172000|22000|0
0|45000|295000|60000|0
1000|37000|22000|-96000|1
1000|31000|491000|77000|0
0|40000|520000|58000|0
0|42000|417000|-48000|0
0|26000|547000|-95000|0
0|32000|84000|-12000|0
0|40000|104000|50000|0
1000|27000|528000|36000|0
0|43000|557000|-60000|0
0|29000|145000|-37000|0
1000|38000|369000|4000|1
1000|27000|458000|27000|0
1000|43000|-57000|-27000|0
0|42000|2000|-24000|0
1000|35000|303000|-62000|1
0|38000|419000|48000|0
0|42000|-69000|96000|0
0|45000|267000|37000|0
1000|27000|396000|-49000|1
1000|34000|-47000|54000|0
0|44000|212000|42000|0
0|33000|311000|27000|0
0|41000|-57000|-49000|0
1000|31000|418000|-86000|1
0|42000|373000|34000|0
0|28000|481000|66000|0
1000|40000|290000|-45000|1
0|42000|-4000|-95000|0
0|32000|512000|-25000|0
1000|29000|217000|-32000|1
1000|36000|404000|91000|1
1000|36000|51000|-73000|1
1000|40000|98000|-39000|1
1000|39000|-16000|58000|0
0|36000|-20000|-17000|0
0|39000|80000|26000|0
1000|32000|-81000|-37000|0
1000|34000|310000|19000|1
0|33000|189000|80000|0
1000|43000|120000|-73000|0
0|33000|67000|62000|0
0|30000|450000|-51000|0
0|29000|-22000|-4000|0
1000|27000|65000|-11000|1
0|28000|290000|-82000|0
1000|29000|418000|3000|1
0|36000|70000|68000|0
0|41000|552000|100000|0
1000|34000|-66000|-64000|0
0|28000|365000|-39000|0
0|43000|189000|-73000|0
1000|25000|437000|-87000|1
1000|42000|25000|3000|1
0|42000|139000|-29000|0
0|30000|151000|78000|0
1000|35000|445000|47000|1
0|38000|217000|16000|0
1000|26000|529000|41000|0
0|32000|593000|-87000|0
1000|26000|578000|-35000|0
0|42000|66000|-3000|0
0|29000|377000|34000|0
0|41000|81000|-11000|0
1000|42000|582000|55000|0
0|34000|40000|-65000|0
1000|28000|-29000|64000|0
0|39000|-77000|41000|0
0|37000|-50000|-49000|0
0|26000|-77000|-71000|0
1000|39000|344000|-20000|1
1000|43000|105000|84000|0
1000|31000|115000|67000|1
0|30000|259000|14000|0
1000|26000|262000|58000|1
1000|33000|-86000|-85000|0
1000|28000|-33000|-14000|0
1000|35000|-43000|6000|0
0|28000|458000|56000|0
0|30000|76000|-74000|0
0|37000|533000|-91000|0
0|28000|519000|29000|0
0|32000|547000|80000|0
0|29000|80000|79000|0
1000|29000|289000|-45000|1
1000|28000|364000|-87000|1
1000|39000|90000|59000|1
1000|28000|-94000|99000|0
1000|30000|180000|79000|1
0|39000|27000|44000|0
0|37000|26000|-8000|0
1000|44000|580000|56000|0
0|36000|-51000|-27000|0
1000|28000|-67000|52000|0
0|26000|84000|-26000|0
1000|25000|76000|-7000|1
1000|42000|537000|-29000|0
1000|40000|445000|42000|1
1000|45000|291000|-38000|0
0|30000|268000|54000|0
0|37000|44000|-89000|0
0|34000|99000|5000|0
1000|28000|64000|-42000|1
1000|32000|490000|-57000|0
1000|33000|378000|-65000|1
1000|40000|490000|64000|0
1000|33000|-27000|-90000|0
1000|36000|173000|-41000|1
1000|25000|529000|85000|0
1000|25000|574000|-84000|0
1000|27000|562000|-29000|0
1000|36000|62000|-89000|1
0|27000|518000|54000|0
0|27000|432000|3000|0
0|44000|553000|27000|0
1000|27000|271000|-24000|1
1000|34000|214000|83000|1
1000|41000|-35000|34000|0
1000|33000|295000|33000|1
0|37000|-8000|72000|0
0|36000|584000|72000|0
1000|35000|594000|-26000|0
0|42000|442000|-80000|0
1000|28000|195000|-19000|1
0|27000|546000|56000|0
1000|33000|488000|86000|0
0|29000|589000|-43000|0
1000|31000|81000|-37000|1
1000|34000|14000|-23000|1
1000|42000|25000|81000|1
1000|43000|408000|69000|0
0|41000|125000|-8000|0
1000|33000|486000|59000|0
1000|40000|483000|6000|0
1000|29000|127000|88000|1
0|42000|113000|9000|0
1000|35000|183000|15000|1
1000|44000|29000|-57000|0
0|27000|-97000|-2000|0
0|35000|468000|30000|0
0|37000|593000|-75000|0
1000|44000|107000|-71000|0
0|34000|-49000|44000|0
0|29000|485000|38000|0
0|25000|568000|-48000|0
0|36000|-90000|-70000|0
1000|29000|584000|-64000|0
0|42000|14000|65000|0
1000|36000|185000|26000|1
1000|35000|-51000|75000|0
0|25000|64000|92000|0
0|26000|543000|84000|0
1000|39000|296000|-65000|1
1000|35000|185000|-4000|1
1000|42000|164000|-48000|1
1000|31000|363000|-77000|1
0|28000|192000|66000|0
0|40000|249000|18000|0
1000|37000|270000|-9000|1
1000|34000|535000|33000|0
0|39000|150000|15000|0
1000|45000|48000|-19000|0
0|26000|49000|-37000|0
0|30000|171000|21000|0
1000|30000|246000|-80000|1
1000|41000|343000|79000|1
0|35000|468000|-42000|0
1000|41000|96000|-86000|1
1000|45000|-88000|-100000|0
1000|27000|279000|60000|1
0|33000|116000|61000|0
1000|25000|444000|9000|1
1000|43000|182000|-54000|0
0|43000|327000|97000|0
1000|34000|468000|21000|0
1000|33000|432000|-46000|1
0|30000|437000|-37000|0
1000|42000|148000|21000|1
0|30000|249000|-86000|0
0|39000|578000|-76000|0
1000|33000|263000|37000|1
1000|41000|48000|-70000|1
0|25000|41000|17000|0
1000|35000|-66000|-62000|0
1000|40000|-63000|81000|0
1000|43000|-59000|-22000|0
0|37000|12000|83000|0
1000|37000|229000|32000|1
0|38000|-63000|1000|0
1000|29000|74000|52000|1
1000|32000|87000|54000|1
0|31000|465000|-69000|0
0|36000|15000|77000|0
0|31000|63000|-95000|0
1000|39000|183000|-17000|1
0|37000|386000|10000|0
0|33000|106000|51000|0
0|27000|537000|85000|0
1000|26000|511000|-12000|0
1000|25000|72000|-97000|1
0|34000|548000|-87000|0
0|41000|600000|-88000|0
1000|29000|-27000|-27000|0
0|36000|230000|70000|0
0|40000|-29000|-24000|0
0|30000|95000|76000|0
0|30000|-12000|46000|0
1000|34000|81000|68000|1
1000|29000|361000|50000|1
0|28000|45000|-10000|0
0|39000|104000|58000|0
1000|36000|359000|77000|1
0|32000|348000|22000|0
1000|36000|313000|-85000|1
0|29000|174000|-32000|0
0|37000|76000|-97000|0
1000|26000|-51000|39000|0
0|29000|450000|-57000|0
0|35000|315000|-82000|0
1000|25000|126000|-1000|1
1000|25000|-1000|-40000|0
0|34000|565000|-14000|0
1000|43000|519000|-3000|0
1000|40000|8000|-90000|1
0|41000|531000|41000|0
0|42000|564000|8000|0
0|25000|540000|36000|0
0|26000|430000|-33000|0
1000|40000|557000|97000|0
1000|41000|451000|45000|0
1000|44000|531000|18000|0
0|36000|405000|-58000|0
0|35000|296000|-25000|0
0|43000|534000|-73000|0
1000|29000|293000|-27000|1
1000|41000|537000|-36000|0
1000|28000|-47000|31000|0
1000|36000|347000|-57000|1
0|42000|422000|-91000|0
0|30000|52000|75000|0
0|41000|560000|16000|0
0|44000|170000|31000|0
1000|44000|88000|-76000|0
0|31000|150000|-53000|0
0|36000|191000|50000|0
0|28000|518000|69000|0
1000|45000|209000|-93000|0
1000|39000|289000|-64000|1
1000|26000|171000|-41000|1
1000|26000|-9000|-64000|0
1000|28000|-77000|15000|0
0|34000|-42000|44000|0
1000|32000|413000|7000|1
1000|32000|515000|-73000|0
1000|26000|142000|12000|1
1000|33000|255000|29000|1
0|38000|429000|43000|0
0|26000|478000|-85000|0
0|32000|54000|20000|0
0|41000|216000|96000|0
0|45000|546000|81000|0
1000|30000|584000|77000|0
1000|45000|585000|-22000|0
0|34000|177000|61000|0
0|29000|-63000|67000|0
1000|43000|243000|32000|0
1000|32000|121000|-47000|1
1000|43000|32000|-66000|0
1000|35000|287000|-96000|1
1000|36000|442000|-89000|1
0|26000|324000|80000|0
1000|31000|53000|-15000|1
0|41000|90000|23000|0
0|42000|-18000|-61000|0
1000|38000|509000|95000|0
1000|36000|235000|-11000|1
0|28000|357000|-51000|0
0|30000|288000|73000|0
1000|42000|436000|-24000|1
0|34000|106000|-19000|0
0|38000|282000|-86000|0
0|39000|288000|41000|0
0|37000|299000|39000|0
1000|42000|533000|-62000|0
1000|40000|-50000|48000|0
1000|41000|572000|12000|0
1000|44000|468000|-73000|0
1000|37000|-54000|64000|0
1000|25000|561000|44000|0
1000|37000|250000|-51000|1
1000|34000|593000|27000|0
0|43000|264000|-75000|0
1000|32000|181000|-79000|1
0|30000|95000|-85000|0
0|36000|-60000|-26000|0
0|28000|44000|-89000|0
0|38000|194000|-14000|0
1000|36000|375000|-64000|1
0|42000|554000|78000|0
0|34000|166000|10000|0
1000|28000|8000|34000|1
1000|33000|-6000|66000|0
0|33000|526000|-91000|0
1000|42000|487000|42000|0
0|45000|-7000|-35000|0
0|40000|66000|31000|0
0|43000|64000|0|0
0|38000|359000|-30000|0
1000|28000|-3000|37000|0
0|25000|457000|-94000|0
0|28000|408000|-68000|0
1000|30000|151000|-78000|1
1000|28000|183000|-20000|1
1000|40000|77000|42000|1
1000|34000|141000|-2000|1
1000|41000|-58000|23000|0
1000|26000|356000|-61000|1
1000|43000|321000|-39000|0
0|26000|243000|-61000|0
0|39000|589000|-32000|0
0|44000|289000|87000|0
0|33000|463000|80000|0
1000|45000|433000|48000|0
0|37000|366000|26000|0
1000|37000|521000|-99000|0
1000|44000|306000|85000|0
1000|36000|80000|68000|1
1000|34000|283000|88000|1
1000|35000|462000|-99000|0
0|29000|315000|-32000|0
1000|33000|255000|86000|1
1000|40000|351000|-35000|1
0|33000|-6000|57000|0
0|34000|213000|70000|0
0|30000|292000|-18000|0
1000|43000|-95000|31000|0
0|30000|245000|36000|0
